organism,drug,year,p10,p25,median,p75,p90
Citrobacter sp,TZP_MIC,2020.0,3.9999,3.9999,65.99995,128.000025,128.00007
Citrobacter sp,TZP_MIC,2022.0,3.9999,3.9999,3.9999,16.0,25.6
Citrobacter spp,Tigecycline,2019.0,0.12,0.12,0.185,0.25,0.375
Citrobacter spp,Tigecycline,2020.0,0.12,0.25,0.25,0.5,1.0
Citrobacter spp,Tigecycline,2021.0,0.12,0.12,0.25,0.25,0.5
Citrobacter spp,Tigecycline,2022.0,0.25,0.25,0.25,0.5,0.5
Citrobacter spp,Tigecycline,2023.0,0.25,0.25,0.25,0.5,0.6000000000000014
Citrobacter youngae,CAZ_MIC,2020.0,16.0001,16.0001,16.0001,16.0001,16.0001
Citrobacter youngae,FEP_MIC,2020.0,1.0,1.0,1.0,1.0,1.0
Citrobacter youngae,GM_MIC,2020.0,0.25,0.25,0.25,0.25,0.25
Citrobacter youngae,LVX_MIC,2020.0,0.25,0.25,0.25,0.25,0.25
Citrobacter youngae,MEM_MIC,2020.0,0.06,0.06,0.06,0.06,0.06
Citrobacter youngae,TZP_MIC,2020.0,64.0,64.0,64.0,64.0,64.0
Citrobacter youngae,Tigecycline,2012.0,0.25,0.25,0.25,0.25,0.25
Citrobacter youngae,Tigecycline,2016.0,0.25,0.25,0.25,0.25,0.25
Citrobacter youngae,Tigecycline,2017.0,0.275,0.3125,0.375,0.4375,0.475
Citrobacter youngae,Tigecycline,2018.0,0.146,0.185,0.25,0.25,0.25
Citrobacter youngae,Tigecycline,2019.0,0.25,0.25,0.25,0.25,0.25
Citrobacter youngae,Tigecycline,2020.0,0.5,0.5,0.5,0.5,0.5
"Citrobacter, non-speciated",Tigecycline,2012.0,0.25,0.25,0.375,0.5,0.5
"Citrobacter, non-speciated",Tigecycline,2014.0,0.5,1.0,2.0,4.0,6.799999999999997
"Citrobacter, non-speciated",Tigecycline,2015.0,0.25,0.25,0.25,0.5,0.5
"Citrobacter, non-speciated",Tigecycline,2016.0,0.25,0.25,0.25,0.5,0.5
"Citrobacter, non-speciated",Tigecycline,2017.0,0.198,0.25,0.25,0.375,1.1000000000000005
"Citrobacter, non-speciated",Tigecycline,2018.0,0.12,0.25,0.25,0.5,0.5
Clostridioides difficile,Tigecycline,2006.0,0.12,0.12,0.12,0.12,0.12
Clostridioides difficile,Tigecycline,2007.0,0.12,0.12,0.12,0.25,1.0
Clostridioides difficile,Tigecycline,2008.0,0.07800000000000001,0.12,0.185,0.25,0.5
Clostridioides difficile,Tigecycline,2009.0,0.12,0.12,0.12,0.185,0.5
Clostridioides difficile,Tigecycline,2010.0,0.084,0.12,0.25,0.25,0.3999999999999999
Clostridioides difficile,Tigecycline,2011.0,0.06,0.06,0.12,0.25,0.5
Clostridioides difficile,Tigecycline,2012.0,0.12,0.12,0.12,0.5,0.5
Clostridioides difficile,Tigecycline,2013.0,0.12,0.2175,0.25,0.25,0.32499999999999996
Clostridioides difficile,Tigecycline,2014.0,0.6480000000000001,1.0,1.0,1.0,1.0
Clostridioides difficile,Tigecycline,2015.0,0.12,0.12,0.185,0.3125,0.42500000000000004
Clostridioides difficile,Tigecycline,2016.0,0.12,0.12,0.375,0.5,2.0
Clostridioides difficile,Tigecycline,2018.0,0.42500000000000004,0.6875,1.125,1.5625,1.825
Clostridioides difficile,Tigecycline,2019.0,0.12,0.12,0.25,0.5,1.0
Clostridioides difficile,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.5
Clostridioides difficile,Tigecycline,2021.0,0.12,0.12,0.12,0.12,0.25
Clostridioides difficile,Tigecycline,2022.0,0.12,0.12,0.12,0.5,1.0
Clostridioides difficile,Tigecycline,2023.0,0.12,0.12,0.25,0.5,0.8500000000000005
Clostridium aldenense,Tigecycline,2013.0,0.25,0.25,0.25,0.25,0.25
Clostridium barati,Tigecycline,2014.0,0.12,0.12,0.12,0.12,0.12
Clostridium barati,Tigecycline,2015.0,0.12,0.12,0.12,0.33999999999999997,0.7360000000000002
Clostridium barati,Tigecycline,2016.0,0.12,0.12,0.12,0.12,0.12
Clostridium barati,Tigecycline,2017.0,0.12,0.12,0.12,0.12,0.12
Clostridium beijerinckii,Tigecycline,2022.0,0.25,0.25,0.25,0.25,0.25
Clostridium bifermentans,Tigecycline,2008.0,0.072,0.09,0.12,0.185,0.224
Clostridium bifermentans,Tigecycline,2009.0,0.12,0.12,0.12,0.12,0.12
Clostridium bifermentans,Tigecycline,2010.0,0.12,0.12,0.12,0.12,0.12
Clostridium bifermentans,Tigecycline,2012.0,0.06,0.06,0.06,0.06,0.06
Clostridium bifermentans,Tigecycline,2013.0,0.5,0.5,0.5,0.5,0.5
Clostridium bifermentans,Tigecycline,2014.0,0.5,0.5,0.5,0.5,0.5
Clostridium bifermentans,Tigecycline,2015.0,0.5,0.5,0.5,0.75,0.9
Clostridium bifermentans,Tigecycline,2018.0,0.25,0.25,0.25,0.25,0.25
Clostridium bolteae,Tigecycline,2015.0,1.0,1.0,1.0,1.0,1.0
Clostridium bolteae,Tigecycline,2016.0,0.12,0.12,0.12,0.12,0.12
Clostridium butyricum,Tigecycline,2006.0,0.12,0.12,0.12,0.12,0.12
Clostridium butyricum,Tigecycline,2007.0,0.12,0.12,0.12,2.06,3.224
Clostridium butyricum,Tigecycline,2008.0,0.20800000000000002,0.33999999999999997,0.56,0.78,0.912
Clostridium butyricum,Tigecycline,2010.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium butyricum,Tigecycline,2013.0,0.3,0.375,0.5,2.25,3.3000000000000003
Clostridium butyricum,Tigecycline,2016.0,0.25,0.25,0.25,0.25,0.25
Clostridium butyricum,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.12
Clostridium butyricum,Tigecycline,2021.0,0.5,0.5,0.5,0.5,0.5
Clostridium butyricum,Tigecycline,2022.0,0.325,0.4375,0.625,0.8125,0.925
Clostridium cadaveris,Tigecycline,2009.0,0.25,0.25,0.25,0.25,0.25
Clostridium cadaveris,Tigecycline,2015.0,1.0,1.0,1.0,1.0,1.0
Clostridium cadaveris,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.12
Clostridium celerecrescens,Tigecycline,2014.0,1.0,1.0,1.0,1.0,1.0
Clostridium citroniae,Tigecycline,2017.0,0.12,0.12,0.12,0.12,0.12
Clostridium clostridiiformis,Tigecycline,2007.0,0.158,0.215,0.31,0.405,0.462
Clostridium clostridiiformis,Tigecycline,2008.0,0.5,0.5,0.5,0.5,0.5
Clostridium clostridiiformis,Tigecycline,2009.0,0.12,0.12,0.12,0.12,0.12
Clostridium clostridiiformis,Tigecycline,2012.0,0.12,0.12,0.12,0.5,1.4000000000000001
Clostridium clostridiiformis,Tigecycline,2013.0,0.12,0.12,0.12,0.12,0.12
Clostridium clostridiiformis,Tigecycline,2014.0,0.25,0.25,0.25,0.25,0.25
Clostridium clostridiiformis,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Clostridium clostridiiformis,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.12
Clostridium colicanis,Tigecycline,2017.0,0.5,0.5,0.5,0.5,0.5
Clostridium glycolicum,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium glycolicum,Tigecycline,2010.0,0.5,0.5,0.5,0.5,0.5
Clostridium hathewayi,Tigecycline,2016.0,0.625,1.1875,2.125,3.0625,3.625
Clostridium hathewayi,Tigecycline,2017.0,0.12,0.12,0.12,0.12,0.12
Clostridium histolyticum,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium innocuum,Tigecycline,2008.0,0.159,0.2175,0.25,0.3125,0.42500000000000004
Clostridium innocuum,Tigecycline,2009.0,0.12,0.12,0.12,0.12,0.12
Clostridium innocuum,Tigecycline,2010.0,0.5,0.5,0.5,0.5,0.5
Clostridium innocuum,Tigecycline,2011.0,0.079,0.1075,0.155,0.2025,0.231
Clostridium innocuum,Tigecycline,2012.0,2.0,2.0,2.0,2.0,2.0
Clostridium innocuum,Tigecycline,2013.0,0.12,0.12,0.12,0.12,0.12
Clostridium innocuum,Tigecycline,2014.0,0.12,0.12,0.12,0.31,0.42400000000000004
Clostridium innocuum,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Clostridium innocuum,Tigecycline,2020.0,0.12,0.12,0.56,1.0,1.0
Clostridium innocuum,Tigecycline,2021.0,0.224,0.25,0.25,0.25,1.0
Clostridium novyia,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium paraputrificum,Tigecycline,2008.0,0.079,0.1075,0.155,0.2025,0.231
Clostridium paraputrificum,Tigecycline,2009.0,0.5,0.5,0.5,0.5,0.5
Clostridium paraputrificum,Tigecycline,2010.0,0.25,0.25,0.25,0.25,0.25
Clostridium paraputrificum,Tigecycline,2011.0,0.06,0.06,0.06,0.06,0.06
Clostridium paraputrificum,Tigecycline,2012.0,0.079,0.1075,0.155,0.2025,0.231
Clostridium paraputrificum,Tigecycline,2014.0,0.5,0.5,0.5,0.5,0.5
Clostridium paraputrificum,Tigecycline,2016.0,0.158,0.215,0.31,0.405,0.462
Clostridium paraputrificum,Tigecycline,2018.0,0.25,0.25,0.25,0.25,0.25
Clostridium paraputrificum,Tigecycline,2020.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium paraputrificum,Tigecycline,2021.0,0.5,0.5,0.5,0.5,0.5
Clostridium paraputrificum,Tigecycline,2022.0,0.158,0.215,0.31,0.405,0.462
Clostridium perfringens,Tigecycline,2005.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium perfringens,Tigecycline,2006.0,0.5,0.5,0.5,0.5,0.5
Clostridium perfringens,Tigecycline,2007.0,0.12,0.25,0.5,1.0,1.0
Clostridium perfringens,Tigecycline,2008.0,0.12,0.25,0.5,1.0,2.0
Clostridium perfringens,Tigecycline,2009.0,0.25,0.25,0.5,1.0,2.0
Clostridium perfringens,Tigecycline,2010.0,0.12,0.12,0.25,0.5,1.0
Clostridium perfringens,Tigecycline,2011.0,0.12,0.25,0.5,1.0,1.5
Clostridium perfringens,Tigecycline,2012.0,0.12,0.12,0.5,0.5,1.0
Clostridium perfringens,Tigecycline,2013.0,0.12,0.25,0.5,1.0,1.3999999999999986
Clostridium perfringens,Tigecycline,2014.0,0.25,0.25,0.5,1.0,2.0
Clostridium perfringens,Tigecycline,2015.0,0.25,0.25,1.0,1.0,2.0
Clostridium perfringens,Tigecycline,2016.0,0.25,0.5,1.0,2.0,2.0
Clostridium perfringens,Tigecycline,2017.0,0.25,0.5,1.0,2.0,2.0
Clostridium perfringens,Tigecycline,2018.0,0.25,0.25,0.5,1.0,1.0
Clostridium perfringens,Tigecycline,2019.0,0.56,1.0,1.5,2.0,2.0
Clostridium perfringens,Tigecycline,2020.0,0.25,0.5,1.0,2.0,4.0
Clostridium perfringens,Tigecycline,2021.0,0.12,0.25,1.0,2.0,4.0
Clostridium perfringens,Tigecycline,2022.0,0.23700000000000004,0.25,1.0,1.75,2.0
Clostridium perfringens,Tigecycline,2023.0,0.25,0.5,1.0,2.0,2.0
Clostridium putrificum,Tigecycline,2007.0,0.25,0.25,0.25,0.25,0.25
Clostridium ramosum,Tigecycline,2008.0,0.12,0.12,0.12,0.12,0.31
Clostridium ramosum,Tigecycline,2009.0,0.159,0.2175,0.25,0.4375,0.7750000000000001
Clostridium ramosum,Tigecycline,2010.0,0.12,0.12,0.185,0.25,0.25
Clostridium ramosum,Tigecycline,2011.0,0.078,0.105,0.12,0.1525,0.21100000000000002
Clostridium ramosum,Tigecycline,2012.0,0.42500000000000004,0.6875,1.125,1.5625,1.825
Clostridium ramosum,Tigecycline,2013.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium ramosum,Tigecycline,2014.0,0.12,0.12,0.25,0.5,0.8
Clostridium ramosum,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Clostridium ramosum,Tigecycline,2017.0,0.20800000000000002,0.33999999999999997,0.56,0.78,0.912
Clostridium ramosum,Tigecycline,2018.0,0.5,0.5,0.5,0.5,0.5
Clostridium ramosum,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Clostridium ramosum,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.19799999999999995
Clostridium ramosum,Tigecycline,2021.0,0.12,0.12,0.12,0.25,0.5500000000000003
Clostridium ramosum,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.12
Clostridium ramosum,Tigecycline,2023.0,0.12,0.12,0.12,0.12,0.198
Clostridium septicum,Tigecycline,2007.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium septicum,Tigecycline,2009.0,0.5,0.5,0.5,0.5,0.5
Clostridium septicum,Tigecycline,2011.0,0.20800000000000002,0.33999999999999997,0.56,0.78,0.912
Clostridium septicum,Tigecycline,2012.0,0.12,0.12,0.12,0.12,0.12
Clostridium septicum,Tigecycline,2021.0,0.146,0.185,0.25,0.375,0.45
Clostridium septicum,Tigecycline,2023.0,0.25,0.25,0.25,0.25,0.25
Clostridium sordellii,Tigecycline,2005.0,0.12,0.12,0.12,0.12,0.12
Clostridium sordellii,Tigecycline,2007.0,0.12,0.12,0.12,0.25,0.7000000000000001
Clostridium sordellii,Tigecycline,2008.0,0.12,0.12,0.12,0.12,0.12
Clostridium sordellii,Tigecycline,2009.0,0.12,0.12,0.185,0.3125,0.42500000000000004
Clostridium sordellii,Tigecycline,2011.0,2.0,2.0,2.0,2.0,2.0
Clostridium sordellii,Tigecycline,2013.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium sordellii,Tigecycline,2014.0,0.275,0.3125,0.375,0.4375,0.475
Clostridium sordellii,Tigecycline,2015.0,0.25,0.25,0.25,0.25,0.25
Clostridium sordellii,Tigecycline,2016.0,0.25,0.25,0.5,0.875,2.5999999999999996
Clostridium sordellii,Tigecycline,2017.0,0.275,0.3125,0.375,0.4375,0.475
Clostridium sphenoides,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium sphenoides,Tigecycline,2009.0,0.12,0.12,0.12,0.12,0.12
Clostridium sphenoides,Tigecycline,2011.0,0.12,0.12,0.12,0.12,0.12
Clostridium sphenoides,Tigecycline,2020.0,0.5,0.5,0.5,0.5,0.5
Clostridium sporogenes,Tigecycline,2006.0,1.0,1.0,1.0,1.0,1.0
Clostridium sporogenes,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium sporogenes,Tigecycline,2008.0,0.275,0.3125,0.375,0.4375,0.475
Clostridium sporogenes,Tigecycline,2009.0,0.12,0.12,0.12,0.12,0.12
Clostridium sporogenes,Tigecycline,2011.0,0.06,0.06,0.06,0.06,0.06
Clostridium sporogenes,Tigecycline,2014.0,1.1,2.0,2.0,2.0,3.2
Clostridium sporogenes,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Clostridium sporogenes,Tigecycline,2016.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium sporogenes,Tigecycline,2017.0,2.0,2.0,2.0,2.0,2.0
Clostridium sporogenes,Tigecycline,2018.0,1.1,1.25,1.5,1.75,1.9
Clostridium sporogenes,Tigecycline,2020.0,0.4,0.625,1.0,2.5,3.4000000000000004
Clostridium sporogenes,Tigecycline,2022.0,0.12,0.12,0.12,0.215,0.38600000000000007
Clostridium spp,Tigecycline,2007.0,0.25,0.25,0.25,0.25,0.25
Clostridium spp,Tigecycline,2009.0,0.072,0.09,0.12,1.06,1.624
Clostridium spp,Tigecycline,2010.0,0.06,0.06,0.06,0.06,0.06
Clostridium spp,Tigecycline,2012.0,0.12,0.12,0.12,0.12,0.12
Clostridium spp,Tigecycline,2016.0,0.25,0.25,0.25,0.25,0.25
Clostridium spp,Tigecycline,2020.0,0.12,0.12,0.12,0.12,0.12
Clostridium spp,Tigecycline,2021.0,0.12,0.12,0.25,0.25,0.25
Clostridium spp,Tigecycline,2022.0,0.12,0.12,0.12,0.12,0.12
Clostridium spp,Tigecycline,2023.0,0.325,0.4375,0.625,0.8125,0.925
Clostridium subterminale,Tigecycline,2010.0,0.133,0.1525,0.185,0.2175,0.237
Clostridium tertium,Tigecycline,2007.0,0.12,0.12,0.12,0.12,0.12
Clostridium tertium,Tigecycline,2008.0,0.12,0.12,0.12,0.12,0.12
Clostridium tertium,Tigecycline,2009.0,0.158,0.215,0.31,0.405,0.462
Clostridium tertium,Tigecycline,2011.0,0.06,0.06,0.06,0.06,0.06
Clostridium tertium,Tigecycline,2014.0,0.5,0.5,0.5,0.5,0.5
Clostridium tertium,Tigecycline,2015.0,0.12,0.12,0.12,0.12,0.12
Clostridium tertium,Tigecycline,2016.0,2.0,2.0,2.0,2.0,2.0
Clostridium tertium,Tigecycline,2017.0,1.0,1.0,1.0,1.0,1.0
Clostridium tertium,Tigecycline,2019.0,1.0,1.0,1.0,1.0,1.0
Clostridium tertium,Tigecycline,2022.0,0.172,0.25,0.25,1.0,1.0
Clostridium tertium,Tigecycline,2023.0,0.29600000000000004,0.56,1.0,1.0,1.0
Comamonas kerstersii,Tigecycline,2022.0,1.0,1.0,1.0,1.0,1.0
Coprinellus radians,Amphotericin B (CLSI),2011.0,0.5,0.5,0.5,0.5,0.5
Coprinellus radians,Anidulafungin (CLSI),2011.0,4.0,4.0,4.0,4.0,4.0
Coprinellus radians,Caspofungin (CLSI),2011.0,4.0,4.0,4.0,4.0,4.0
Coprinellus radians,Itraconazole (CLSI),2011.0,1.0,1.0,1.0,1.0,1.0
Coprinellus radians,Micafungin (CLSI),2011.0,32.0,32.0,32.0,32.0,32.0
Coprinellus radians,Posaconazole (CLSI),2011.0,0.25,0.25,0.25,0.25,0.25
Coprinellus radians,Voriconazole (CLSI),2011.0,0.12,0.12,0.12,0.12,0.12
Coprinellus radians,uid,2011.0,2002326.0,2002326.0,2002326.0,2002326.0,2002326.0
Corynebacterium aurimucosum,Tigecycline,2018.0,0.03,0.03,0.03,0.03,0.03
Cronobacter sakazakii,Tigecycline,2016.0,0.12,0.12,0.12,0.12,0.12
Cronobacter sakazakii,Tigecycline,2018.0,0.25,0.25,0.25,0.25,0.25
Cronobacter spp,Tigecycline,2019.0,0.12,0.12,0.12,0.12,0.12
Cryptococcus gattii,Amphotericin B (CLSI),2012.0,0.55,0.625,0.75,0.875,0.95
Cryptococcus gattii,Amphotericin B (CLSI),2013.0,0.5,0.5,0.5,0.75,0.9
Cryptococcus gattii,Amphotericin B (CLSI),2014.0,1.0,1.0,1.0,1.0,1.0
Cryptococcus gattii,Amphotericin B (CLSI),2016.0,1.0,1.0,1.0,1.0,1.0
Cryptococcus gattii,Amphotericin B (CLSI),2017.0,0.325,0.4375,0.625,0.8125,0.925
Cryptococcus gattii,Amphotericin B (CLSI),2018.0,0.5,0.5,0.5,0.5,0.5
Cryptococcus gattii,Amphotericin B (CLSI),2019.0,1.0,1.0,1.0,1.0,1.0
Cryptococcus gattii,Anidulafungin (CLSI),2012.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Anidulafungin (CLSI),2013.0,32.0,32.0,32.0,32.0,32.0
Cryptococcus gattii,Anidulafungin (CLSI),2014.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Anidulafungin (CLSI),2016.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Anidulafungin (CLSI),2017.0,4.4,5.0,6.0,7.0,7.6
Cryptococcus gattii,Anidulafungin (CLSI),2018.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii,Anidulafungin (CLSI),2019.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Caspofungin (CLSI),2012.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Caspofungin (CLSI),2013.0,9.6,12.0,16.0,16.0,16.0
Cryptococcus gattii,Caspofungin (CLSI),2014.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Caspofungin (CLSI),2016.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Caspofungin (CLSI),2017.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Caspofungin (CLSI),2018.0,4.4,5.0,6.0,7.0,7.6
Cryptococcus gattii,Caspofungin (CLSI),2019.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Fluconazole (CLSI),2012.0,1.3,1.75,2.5,3.25,3.7
Cryptococcus gattii,Fluconazole (CLSI),2013.0,0.6000000000000001,1.125,2.0,3.0,3.6
Cryptococcus gattii,Fluconazole (CLSI),2014.0,2.0,2.0,2.0,2.0,2.0
Cryptococcus gattii,Fluconazole (CLSI),2016.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Fluconazole (CLSI),2017.0,2.2,2.5,3.0,3.5,3.8
Cryptococcus gattii,Fluconazole (CLSI),2018.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii,Fluconazole (CLSI),2019.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii,Itraconazole (CLSI),2012.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii,Itraconazole (CLSI),2013.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii,Itraconazole (CLSI),2017.0,0.275,0.3125,0.375,0.4375,0.475
Cryptococcus gattii,Itraconazole (CLSI),2018.0,0.55,0.625,0.75,0.875,0.95
Cryptococcus gattii,Itraconazole (CLSI),2019.0,0.275,0.3125,0.375,0.4375,0.475
Cryptococcus gattii,Micafungin (CLSI),2012.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Micafungin (CLSI),2013.0,32.0,32.0,32.0,32.0,32.0
Cryptococcus gattii,Micafungin (CLSI),2014.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Micafungin (CLSI),2016.0,16.0,16.0,16.0,16.0,16.0
Cryptococcus gattii,Micafungin (CLSI),2017.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Micafungin (CLSI),2018.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii,Micafungin (CLSI),2019.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii,Posaconazole (CLSI),2012.0,0.133,0.1525,0.185,0.2175,0.237
Cryptococcus gattii,Posaconazole (CLSI),2013.0,0.133,0.1525,0.185,0.2175,0.237
Cryptococcus gattii,Posaconazole (CLSI),2014.0,0.12,0.12,0.12,0.12,0.12
Cryptococcus gattii,Posaconazole (CLSI),2016.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii,Posaconazole (CLSI),2017.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii,Posaconazole (CLSI),2018.0,0.5,0.5,0.5,0.5,0.5
Cryptococcus gattii,Posaconazole (CLSI),2019.0,0.275,0.3125,0.375,0.4375,0.475
Cryptococcus gattii,Voriconazole (CLSI),2012.0,0.0195,0.02625,0.0375,0.04875,0.0555
Cryptococcus gattii,Voriconazole (CLSI),2013.0,0.012400000000000001,0.019,0.03,0.045,0.054
Cryptococcus gattii,Voriconazole (CLSI),2014.0,0.03,0.03,0.03,0.03,0.03
Cryptococcus gattii,Voriconazole (CLSI),2016.0,0.12,0.12,0.12,0.12,0.12
Cryptococcus gattii,Voriconazole (CLSI),2017.0,0.066,0.075,0.09,0.105,0.11399999999999999
Cryptococcus gattii,Voriconazole (CLSI),2018.0,0.066,0.075,0.09,0.105,0.11399999999999999
Cryptococcus gattii,Voriconazole (CLSI),2019.0,0.066,0.075,0.09,0.105,0.11399999999999999
Cryptococcus gattii,uid,2012.0,2004478.3,2004534.25,2004627.5,2004720.75,2004776.7
Cryptococcus gattii,uid,2013.0,2005153.4,2005154.0,2005155.0,2005875.0,2006307.0
Cryptococcus gattii,uid,2014.0,2007384.1,2007384.25,2007384.5,2007384.75,2007384.9
Cryptococcus gattii,uid,2016.0,2011544.0,2011544.0,2011544.0,2011544.0,2011544.0
Cryptococcus gattii,uid,2017.0,2012772.4,2012804.5,2012858.0,2012911.5,2012943.6
Cryptococcus gattii,uid,2018.0,2014723.1,2014723.25,2014723.5,2014723.75,2014723.9
Cryptococcus gattii,uid,2019.0,2016730.4,2016824.0,2016980.0,2017136.0,2017229.6
Cryptococcus gattii species complex,Amphotericin B (CLSI),2020.0,0.5,0.5,0.5,0.5,0.5
Cryptococcus gattii species complex,Amphotericin B (CLSI),2021.0,0.5,0.5,0.5,0.5,0.5
Cryptococcus gattii species complex,Amphotericin B (CLSI),2022.0,0.3,0.375,0.5,0.5,0.5
Cryptococcus gattii species complex,Amphotericin B (CLSI),2023.0,1.0,1.0,1.0,1.0,1.0
Cryptococcus gattii species complex,Anidulafungin (CLSI),2020.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Anidulafungin (CLSI),2021.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Anidulafungin (CLSI),2022.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii species complex,Anidulafungin (CLSI),2023.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii species complex,Caspofungin (CLSI),2020.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Caspofungin (CLSI),2021.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Caspofungin (CLSI),2022.0,4.8,6.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Caspofungin (CLSI),2023.0,2.0,2.0,2.0,2.0,2.0
Cryptococcus gattii species complex,Fluconazole (CLSI),2020.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii species complex,Fluconazole (CLSI),2021.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Fluconazole (CLSI),2022.0,1.2,1.5,2.0,5.0,6.800000000000001
Cryptococcus gattii species complex,Fluconazole (CLSI),2023.0,1.0,1.0,1.0,1.0,1.0
Cryptococcus gattii species complex,Itraconazole (CLSI),2020.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii species complex,Itraconazole (CLSI),2021.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii species complex,Itraconazole (CLSI),2022.0,0.072,0.09,0.12,0.31,0.42400000000000004
Cryptococcus gattii species complex,Itraconazole (CLSI),2023.0,0.06,0.06,0.06,0.06,0.06
Cryptococcus gattii species complex,Micafungin (CLSI),2020.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Micafungin (CLSI),2021.0,8.0,8.0,8.0,8.0,8.0
Cryptococcus gattii species complex,Micafungin (CLSI),2022.0,1.2,1.5,2.0,3.0,3.6
Cryptococcus gattii species complex,Micafungin (CLSI),2023.0,4.0,4.0,4.0,4.0,4.0
Cryptococcus gattii species complex,Posaconazole (CLSI),2020.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii species complex,Posaconazole (CLSI),2021.0,0.25,0.25,0.25,0.25,0.25
Cryptococcus gattii species complex,Posaconazole (CLSI),2022.0,0.072,0.09,0.12,0.185,0.224
Cryptococcus gattii species complex,Posaconazole (CLSI),2023.0,0.12,0.12,0.12,0.12,0.12
Cryptococcus gattii species complex,Voriconazole (CLSI),2020.0,0.06,0.06,0.06,0.06,0.06
Cryptococcus gattii species complex,Voriconazole (CLSI),2021.0,0.12,0.12,0.12,0.12,0.12
Cryptococcus gattii species complex,Voriconazole (CLSI),2022.0,0.018,0.0225,0.03,0.045,0.054
Cryptococcus gattii species complex,Voriconazole (CLSI),2023.0,0.015,0.015,0.015,0.015,0.015
Cryptococcus gattii species complex,uid,2020.0,2017777.0,2017777.0,2017777.0,2017777.0,2017777.0
Cryptococcus gattii species complex,uid,2021.0,2021284.0,2021284.0,2021284.0,2021284.0,2021284.0
Cryptococcus gattii species complex,uid,2022.0,3001148.2,3001148.5,3001149.0,3001547.0,3001785.8
Cryptococcus gattii species complex,uid,2023.0,3003038.0,3003038.0,3003038.0,3003038.0,3003038.0
